2008-11-13 12:30:48 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/fanfarons_controller.php, line 38]
2008-11-13 12:31:05 Notice: Notice (8): Undefined variable: id in [APP/controllers/fanfarons_controller.php, line 41]
2008-11-13 12:43:21 Notice: Notice (8): Undefined index:  oui in [APP/views/fanfarons/index.ctp, line 19]
2008-11-13 12:43:21 Notice: Notice (8): Undefined index:  peutetre in [APP/views/fanfarons/index.ctp, line 19]
2008-11-13 12:43:21 Notice: Notice (8): Undefined index:  name in [APP/views/fanfarons/index.ctp, line 19]
2008-11-13 12:44:06 Notice: Notice (8): Undefined index:  oui in [APP/views/fanfarons/index.ctp, line 19]
2008-11-13 12:44:06 Notice: Notice (8): Undefined index:  peutetre in [APP/views/fanfarons/index.ctp, line 19]
2008-11-13 12:44:06 Notice: Notice (8): Undefined index:  name in [APP/views/fanfarons/index.ctp, line 19]
2008-11-13 12:53:37 Notice: Notice (8): Undefined variable: instru in [APP/views/fanfarons/index.ctp, line 39]
2008-11-14 12:49:31 Notice: Notice (8): Undefined index:  prenom in [APP/views/users/admin_index.ctp, line 76]
2008-11-14 12:49:31 Notice: Notice (8): Undefined index:  nom in [APP/views/users/admin_index.ctp, line 79]
2008-11-14 12:49:31 Notice: Notice (8): Undefined index:  Entite in [APP/views/users/admin_index.ctp, line 100]
2008-11-14 12:50:10 Notice: Notice (8): Undefined index:  prenom in [APP/views/users/admin_index.ctp, line 67]
2008-11-14 12:50:10 Notice: Notice (8): Undefined index:  nom in [APP/views/users/admin_index.ctp, line 70]
2008-11-14 12:50:10 Notice: Notice (8): Undefined index:  Entite in [APP/views/users/admin_index.ctp, line 91]
2008-11-14 12:51:12 Notice: Notice (8): Undefined property: User::$Entite in [APP/controllers/users_controller.php, line 55]
2008-11-14 12:56:07 Notice: Notice (8): Undefined index:  login in [APP/views/layouts/default.ctp, line 51]
2008-11-14 12:56:17 Notice: Notice (8): Undefined index:  identifiant in [APP/views/layouts/default.ctp, line 51]
2008-11-14 12:56:45 Notice: Notice (8): Undefined index:  identifiant in [APP/views/layouts/default.ctp, line 51]
2008-11-14 12:56:51 Notice: Notice (8): Undefined index:  identifiant in [APP/views/layouts/default.ctp, line 51]
2008-11-14 13:07:11 Notice: Notice (8): Undefined variable: fanfarons in [APP/views/contrats/view.ctp, line 45]
2008-11-14 13:08:21 Notice: Notice (8): Undefined variable: fanfarons in [APP/views/contrats/view.ctp, line 45]
2008-11-14 13:08:42 Notice: Notice (8): Undefined variable: fanfarons in [APP/views/contrats/view.ctp, line 45]
2008-11-14 13:09:29 Notice: Notice (8): Undefined variable: fanfarons in [APP/views/contrats/view.ctp, line 45]
2008-11-14 13:10:50 Notice: Notice (8): Undefined variable: fanfarons in [APP/views/contrats/view.ctp, line 45]
2008-11-14 13:12:32 Notice: Notice (8): Undefined variable: fanfarons in [APP/views/contrats/view.ctp, line 45]
2008-11-14 13:15:21 Notice: Notice (8): Undefined variable: fanfarons in [APP/views/contrats/view.ctp, line 45]
2008-11-14 13:17:54 Notice: Notice (8): Undefined index:  fanfarons in [APP/views/contrats/view.ctp, line 45]
2008-11-17 22:16:47 Notice: Notice (8): Undefined offset:  3 in [APP/config/bootstrap.php, line 54]
2008-11-19 12:42:23 Notice: Notice (8): Undefined index:  FanfaronInstrument in [APP/controllers/fanfarons_controller.php, line 74]
2008-11-19 13:10:26 Notice: Notice (8): Undefined index:  ip in [APP/views/fanfarons/edit.ctp, line 62]
