Medicated Chicken Water,           Minor Mishap Marching Band, https://www.youtube.com/watch?v=k8cLHZumfAI
Saints of Los Angeles,             Motley Crue,                https://www.youtube.com/watch?v=IR2QmRJNS4w
Tandu,                             New Aura,                   https://www.youtube.com/watch?v=nu3J7RNCBjE
"The Blood, the Sweat, the Tears", Machine Head,               https://www.youtube.com/watch?v=-3dwciXMGp0
We Are Your Friends,               Justice,                    https://www.youtube.com/watch?v=L0TvnWRSyr4
